TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,process emission,process emission from feedstock,current electricity
AL0 0,1.92,0.04,0.04,0.50,0.31,0.00,0.04,0.24,0.10,0.01,1.32
AT0 0,45.04,7.59,7.23,26.68,7.34,3.65,1.52,11.39,4.05,0.40,27.23
BA0 0,4.89,0.79,0.76,1.09,1.08,0.05,0.08,0.27,0.89,0.01,2.66
BE0 0,67.74,5.20,4.95,23.25,21.46,7.13,2.68,58.35,4.92,2.04,37.94
BG0 0,13.67,0.00,0.00,4.23,3.70,2.47,0.50,9.52,1.10,0.33,8.95
CH0 0,18.45,0.41,0.39,7.09,4.75,0.26,0.72,11.23,1.61,0.39,11.39
CZ0 0,39.48,5.30,5.05,11.94,6.75,1.76,1.32,11.82,3.53,0.41,22.64
DE0 0,347.92,32.48,30.95,129.13,105.16,21.84,13.68,257.95,27.04,9.03,224.88
DK0 0,12.71,0.00,0.00,5.25,1.15,0.00,0.41,0.00,1.43,0.00,5.83
DK1 0,4.23,0.00,0.00,1.91,0.10,0.00,0.13,0.00,0.04,0.00,2.56
EE2 0,3.20,0.00,0.00,2.31,0.22,0.28,0.13,0.00,0.25,0.00,2.09
ES0 0,117.29,4.71,4.48,42.81,18.55,2.23,3.61,22.73,8.94,0.80,65.68
ES3 0,36.86,0.37,0.36,5.44,6.93,1.26,0.76,14.66,4.05,0.51,10.37
FI1 0,48.48,2.84,2.70,55.27,5.42,0.80,1.78,13.49,1.40,0.47,37.89
FR0 0,172.19,10.62,10.12,73.40,33.85,8.90,6.44,65.44,14.05,2.29,107.02
GB4 0,6.59,0.01,0.01,1.48,1.48,0.59,0.23,3.57,0.61,0.13,4.54
GB5 0,150.34,9.78,9.31,47.46,18.46,6.67,5.49,36.33,9.45,1.27,87.91
GR0 0,18.50,0.00,0.00,6.37,5.45,0.94,0.42,2.53,3.22,0.09,12.67
HR0 0,6.55,0.00,0.00,3.31,1.40,2.96,0.26,0.00,1.50,0.00,3.72
HU0 0,21.68,1.63,1.55,7.51,6.54,2.71,0.86,15.29,1.78,0.54,15.39
IE4 0,16.52,0.00,0.00,5.64,5.56,0.00,0.47,0.00,1.10,0.00,9.84
IT0 0,170.06,5.18,4.93,60.73,22.24,4.49,5.79,26.90,13.52,0.94,108.58
IT6 0,6.86,0.00,0.00,1.78,2.26,0.35,0.20,2.24,1.79,0.08,4.08
LT2 0,4.92,0.00,0.00,2.47,0.42,6.91,0.14,0.00,0.52,0.00,3.36
LU0 0,4.92,0.00,0.00,0.73,0.99,0.00,0.10,0.00,0.65,0.00,3.16
LV2 0,3.77,0.00,0.00,3.83,0.70,0.00,0.16,0.31,0.66,0.01,1.70
ME0 0,0.75,0.02,0.02,0.29,0.16,0.00,0.02,0.09,0.15,0.00,0.36
MK0 0,2.04,0.49,0.47,0.32,0.35,0.03,0.03,0.15,0.14,0.01,1.37
NL0 0,77.11,7.45,7.09,22.99,40.92,18.64,3.83,131.34,3.15,4.60,34.25
NO1 0,33.33,1.79,1.71,9.26,12.26,2.48,0.92,21.36,6.45,0.75,17.42
PL0 0,74.12,5.75,5.48,36.29,14.23,17.74,2.17,13.52,10.66,0.47,49.48
PT0 0,26.98,0.00,0.00,17.64,4.74,0.00,1.03,5.11,3.46,0.18,15.48
RO0 0,33.62,2.43,2.32,10.24,10.22,4.10,1.09,15.45,5.27,0.54,20.53
RS0 0,14.92,1.11,1.06,4.35,3.47,0.65,0.48,7.56,0.67,0.26,9.94
SE1 0,56.07,3.12,2.98,59.75,7.56,0.20,2.09,17.80,2.40,0.62,50.28
SI0 0,7.14,0.00,0.00,3.48,1.21,0.00,0.23,1.34,0.89,0.05,6.20
SK0 0,16.78,4.58,4.36,6.16,2.89,3.38,0.35,0.51,2.90,0.02,11.61
