TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,process emission,process emission from feedstock,current electricity
AL0 0,1.81,0.00,0.00,0.50,0.31,0.03,0.04,0.24,0.08,0.01,1.32
AT0 0,46.41,0.00,0.00,26.68,7.36,9.07,1.51,11.39,3.01,0.40,27.23
BA0 0,4.95,0.00,0.00,1.09,1.08,0.62,0.08,0.27,0.77,0.01,2.66
BE0 0,68.67,0.00,0.00,23.25,21.47,10.84,2.68,58.35,4.21,2.04,37.94
BG0 0,13.67,0.00,0.00,4.23,3.70,2.47,0.50,9.52,1.10,0.33,8.95
CH0 0,18.45,0.00,0.00,7.09,4.75,0.56,0.72,11.23,1.55,0.39,11.39
CZ0 0,40.43,0.00,0.00,11.94,6.76,5.55,1.31,11.82,2.80,0.41,22.64
DE0 0,351.42,0.00,0.00,129.13,105.23,45.06,13.63,257.95,22.30,9.03,224.88
DK0 0,12.71,0.00,0.00,5.25,1.15,0.00,0.41,0.00,1.43,0.00,5.83
DK1 0,4.23,0.00,0.00,1.91,0.10,0.00,0.13,0.00,0.04,0.00,2.56
EE2 0,3.20,0.00,0.00,2.31,0.22,0.28,0.13,0.00,0.25,0.00,2.09
ES0 0,117.22,0.00,0.00,42.81,18.56,5.59,3.61,22.73,8.18,0.80,65.68
ES3 0,36.83,0.00,0.00,5.44,6.93,1.53,0.76,14.66,3.98,0.51,10.37
FI1 0,48.98,0.00,0.00,55.27,5.43,2.83,1.78,13.49,1.01,0.47,37.89
FR0 0,172.25,0.00,0.00,73.40,33.87,16.49,6.42,65.44,12.37,2.29,107.02
GB4 0,6.55,0.00,0.00,1.48,1.48,0.60,0.23,3.57,0.60,0.13,4.54
GB5 0,151.97,0.00,0.00,47.46,18.48,13.66,5.48,36.33,8.09,1.27,87.91
GR0 0,17.76,0.00,0.00,6.37,5.45,0.94,0.42,2.53,3.13,0.09,12.67
HR0 0,6.55,0.00,0.00,3.31,1.40,2.96,0.26,0.00,1.50,0.00,3.72
HU0 0,21.97,0.00,0.00,7.51,6.54,3.87,0.86,15.29,1.55,0.54,15.39
IE4 0,16.52,0.00,0.00,5.64,5.56,0.00,0.47,0.00,1.10,0.00,9.84
IT0 0,170.99,0.00,0.00,60.73,22.25,8.19,5.78,26.90,12.81,0.94,108.58
IT6 0,6.86,0.00,0.00,1.78,2.26,0.35,0.20,2.24,1.79,0.08,4.08
LT2 0,4.92,0.00,0.00,2.47,0.42,6.91,0.14,0.00,0.52,0.00,3.36
LU0 0,4.92,0.00,0.00,0.73,0.99,0.00,0.10,0.00,0.65,0.00,3.16
LV2 0,3.77,0.00,0.00,3.83,0.70,0.00,0.16,0.31,0.66,0.01,1.70
ME0 0,0.75,0.00,0.00,0.29,0.16,0.01,0.02,0.09,0.15,0.00,0.36
MK0 0,2.06,0.00,0.00,0.32,0.35,0.38,0.03,0.15,0.06,0.01,1.37
NL0 0,78.12,0.00,0.00,22.99,40.94,23.96,3.82,131.34,2.09,4.60,34.25
NO1 0,33.33,0.00,0.00,9.26,12.26,3.77,0.91,21.36,6.16,0.75,17.42
PL0 0,75.15,0.00,0.00,36.29,14.24,21.85,2.16,13.52,9.87,0.47,49.48
PT0 0,26.98,0.00,0.00,17.64,4.74,0.00,1.03,5.11,3.46,0.18,15.48
RO0 0,32.66,0.00,0.00,10.24,10.22,5.84,1.08,15.45,4.76,0.54,20.53
RS0 0,14.72,0.00,0.00,4.35,3.47,1.44,0.47,7.56,0.46,0.26,9.94
SE1 0,56.04,0.00,0.00,59.75,7.56,2.44,2.08,17.80,1.90,0.62,50.28
SI0 0,6.74,0.00,0.00,3.48,1.21,0.00,0.23,1.34,0.84,0.05,6.20
SK0 0,16.69,0.00,0.00,6.16,2.90,6.65,0.34,0.51,2.16,0.02,11.61
